Symbol,Name,Current_Price,Entry_Level,Stop_Loss,Take_Profit,Risk_Reward,ATR,Trend,Support_Levels,Resistance_Levels
MIN.AX,Mineral Resources,16.719999313354492,16.719999313354492,13.299998419625418,51.207898918151855,10.084178535752576,1.710000446864537,bearish,[],"[np.float64(25.675000190734863), np.float64(34.93000030517578), np.float64(35.40000025431315), np.float64(36.44499969482422), np.float64(37.493333180745445), np.float64(37.80999946594238)]"
S32.AX,South32,2.5899999141693115,2.5899999141693115,2.3271428176334927,4.646210074901581,7.822540033466722,0.1314285482679094,bearish,[],"[np.float64(3.4049999713897705), np.float64(3.450000047683716), np.float64(3.539999961853028), np.float64(3.5850000381469727), np.float64(3.640000104904175), np.float64(3.6950000524520874), np.float64(3.7699999809265137)]"
ELD.AX,Elders,5.800000190734863,5.800000190734863,5.372142996106829,9.137349901199341,7.800148629885417,0.2139285973140171,bearish,[],"[np.float64(6.90500020980835), np.float64(7.070000171661377), np.float64(7.226666609446208), np.float64(7.255000019073487), np.float64(7.579999923706055)]"
RMD.AX,ResMed,33.459999084472656,33.459999084472656,32.07499967302595,46.1327794342041,9.150025801450735,0.6924997057233538,bearish,[],"[np.float64(35.673333485921226), np.float64(37.86666615804037), np.float64(38.09166653951009), np.float64(39.75), np.float64(40.75)]"
BHP.AX,BHP Group,34.56999969482422,34.56999969482422,32.62714276994978,47.84436074066162,6.832392481343047,0.971428462437221,bearish,[],"[np.float64(40.0533332824707), np.float64(40.08500099182129), np.float64(40.140000661214195), np.float64(40.970001220703125), np.float64(41.04999923706055), np.float64(41.666666666666664), np.float64(42.27000045776367)]"
BGA.AX,Bega Cheese,4.960000038146973,4.960000038146973,4.667857306344168,7.196100367546082,7.654136440774,0.146071365901402,bearish,[],"[np.float64(5.144999980926514), np.float64(5.269999980926514), np.float64(5.382499933242798), np.float64(5.454999923706055), np.float64(5.565000057220459), np.float64(5.860000014305115), np.float64(6.300000190734863)]"
FMG.AX,Fortescue Metals,14.31999969482422,14.31999969482422,13.189999580383303,25.428259811401368,9.830317691669528,0.565000057220459,bearish,[],"[np.float64(16.4950008392334), np.float64(17.040000915527344), np.float64(18.765000343322754), np.float64(19.78400001525879), np.float64(20.059999465942383), np.float64(20.75)]"
A2M.AX,A2 Milk,7.789999961853027,8.08899998664856,7.927219986915588,11.335699982643131,20.06861170326041,0.2485714299338204,bullish,"[np.float64(5.429999828338623), np.float64(5.587500095367432), np.float64(5.684999942779541), np.float64(7.199999809265137)]","[np.float64(8.1899995803833), np.float64(8.199999809265137), np.float64(9.079999923706056)]"
TWE.AX,Treasury Wine Estates,8.539999961853027,8.539999961853027,8.039999825613839,14.356040882110596,11.632078671025212,0.250000068119594,bearish,[],"[np.float64(10.240000089009603), np.float64(10.949999809265137), np.float64(10.994999885559082), np.float64(11.199999809265137), np.float64(11.270000457763672), np.float64(11.59000015258789), np.float64(11.59000015258789), np.float64(11.900000095367432)]"
RIO.AX,Rio Tinto,108.4000015258789,108.4000015258789,102.32285962785993,139.92028034973146,5.186694560172685,3.0385709490094865,bearish,[],"[np.float64(120.16000061035156), np.float64(120.35750007629395), np.float64(120.77999877929688), np.float64(123.95500183105469), np.float64(126.04000091552734)]"
CSL.AX,CSL Limited,241.8800048828125,241.8800048828125,231.52357918875558,320.2478309326172,7.567072691380038,5.17821284702846,bearish,[],"[np.float64(256.6399917602539), np.float64(266.5366617838542), np.float64(275.57000732421875), np.float64(282.20001220703125), np.float64(283.88250732421875), np.float64(290.31500244140625)]"
GNC.AX,GrainCorp,6.429999828338623,6.429999828338623,6.168571199689593,8.815539720535279,9.12501398383289,0.1307143143245152,bearish,[],"[np.float64(7.044999957084656), np.float64(7.516250014305115), np.float64(7.827499866485596)]"
COH.AX,Cochlear,253.3300018310547,253.3300018310547,239.3114231654576,370.49948037719724,8.358156796144211,7.0092893327985495,bearish,[],"[np.float64(273.9150085449219), np.float64(280.17999267578125), np.float64(298.05999755859375), np.float64(304.9949951171875), np.float64(307.1600036621094), np.float64(314.63999938964844), np.float64(319.88499450683594)]"
STO.AX,Santos,,,,,,,,[],[]
ORG.AX,Origin Energy,,,,,,,,[],[]
JHX.AX,James Hardie,,,,,,,,[],[]
AMC.AX,Amcor,14.789999961853027,14.789999961853027,14.21714265005929,17.748020135879518,5.163624716186843,0.286428655896868,bearish,[],"[np.float64(15.25), np.float64(15.699999809265137), np.float64(15.728749990463257), np.float64(16.333333651224773), np.float64(16.539999961853027)]"
